Reference,Quantity,Manufacturer,MPN,Description,Package,Install,Substitution
U1,1,Espressif,ESP32-WROOM-32E-N4,Wi-Fi plus Bluetooth Classic/LE module 4MB,Module 18x25.5mm,Yes,No S3/C3/C6 substitutions
U2,1,Texas Instruments,PCM1808PWR,Stereo 24-bit audio ADC,TSSOP-14,Yes,PCM1808PW tray equivalent
U3,1,Silicon Labs,CP2102N-A02-GQFN24,USB to UART bridge,QFN-24,Yes,Exact pin-compatible only
U4,1,Diodes Incorporated,AP63203WU-7,3.3V 2A synchronous buck,TSOT26,Yes,Requires power/layout review
Y1,1,Kyocera AVX,KC3225Z11.2896C16X00,11.2896MHz 3.3V oscillator,3225-4,Yes,Same frequency voltage padout
J1,1,Same Sky,SJ-3523-SMT-TR,3.5mm stereo switched jack,SMT,Yes,Requires footprint and shell review
J2,1,GCT,USB4105-GF-A,USB-C USB2 receptacle,SMT plus stakes,Yes,Requires footprint and shell review
J3,1,Samtec,SSW-107-02-G-D,2x7 2.54mm female socket,Through-hole,Yes,Match Cardputer stack height/keying
D1,1,Littelfuse,SP0503BAHTG,3-channel low-capacitance ESD array,SOT-143,Yes,Equivalent low-cap ESD array
D2,1,onsemi,MMBD4148SE,Auto-reset dual switching diode,SOT-23,Yes,Equivalent dual fast diode
L1,1,Coilcraft,XAL4020-222MEB,2.2uH shielded power inductor,4x4mm,Yes,Meet AP63203 current/DCR rating
FB1,1,Murata,BLM21PG221SN1D,220ohm at 100MHz power ferrite,0805,Yes,Equivalent current/impedance
SW1,1,C&K,KMR221GLFS,Pair pushbutton,SMT,Yes,Requires footprint/shell review
SW2,1,C&K,KMR221GLFS,Boot pushbutton,SMT,Yes,Requires footprint/shell review
LED1,1,Lite-On,LTST-C191KGKT,Green status LED,0603,Yes,Any 0603 green LED adjust R
R1 R2,2,Yageo,RC0603FR-075K1L,USB-C CC pull-down 5.1k 1%,0603,Yes,Any 1% 0603
R3 R4,2,Yageo,RC0603FR-071KL,Line input series 1k 1%,0603,Yes,Any 1% 0603
R5 R6,2,Yageo,RC0603FR-0720KL,ADC input bias 20k 1%,0603,Yes,Any 1% 0603
R7,1,Yageo,RC0603FR-0710KL,ESP32 EN pull-up 10k,0603,Yes,Any 1% 0603
R8,1,Yageo,RC0603FR-0710KL,ESP32 IO0 pull-up 10k,0603,Yes,Any 1% 0603
R9,1,Yageo,RC0603FR-071KL,Status LED resistor 1k,0603,Yes,Adjust for LED
R10 R11,2,Yageo,RC0603FR-07470RL,UART auto-reset base resistors 470R,0603,Yes,Any 1% 0603
C1 C2,2,Murata,GRM188R71H225KE11D,Line input AC coupling 2.2uF 50V X7R,0603,Yes,Verify voltage/DC bias
C3 C4,2,Murata,GRM188R71H102KA01D,ADC input RF filter 1nF C0G/X7R,0603,Yes,Same value/package
C5 C6 C7 C8 C9 C10,6,Murata,GRM188R71C104KA01D,Local decoupling 100nF 16V X7R,0603,Yes,Any X7R 0603
C11 C12,2,Murata,GRM188R60J106ME47D,3.3V bulk 10uF 6.3V X5R,0603,Yes,Check DC-bias effective value
C13 C14,2,Murata,GRM21BR61A226ME44L,5V/ADC bulk 22uF 10V X5R,0805,Yes,Check DC-bias effective value
C15,1,Murata,GRM188R71C102KA01D,ESP32 EN reset capacitor 1nF,0603,Yes,Any 0603
Q1 Q2,2,Nexperia,MMBT3904,UART automatic boot/reset NPN,SOT-23,Yes,Equivalent NPN pinout
TP1 TP2 TP3 TP4,4,Keystone,5015,5V 3V3 GND ADC test pads,SMD test point,Yes,Assembly option
